Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Gender,Total Years of Experince within EFG Hermes,2022 Performance Appraisal,2021 Performance Appraisal,2020 Performance Appraisal,2019 Performance Appraisal,2018 Performance Appraisal,2023 Promotions,2022 Promotions,2021 Promotions,2020 Promotions,2019 Promotions
Business Line,Brokerage,"Brokerage, Institutional Trading",1839,1-Oct-14,"Associate VP, Institutional Trading",Associate VP,875,Egypt - Head Office,Male,8 Year(s) 8 Month(s) 19 Day(s),Above Expectations,Above Expectations,Meets Expectations,Above Expectations,Above Expectations,,Associate - Associate VP: Mar 2022,,,Analyst - Associate: Mar 2019
Business Line,Brokerage,"Brokerage, Institutional Trading",1962,1-Apr-16,"Associate VP, Institutional Trading",Associate VP,875,Egypt - Head Office,Male,7 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Above Expectations,Above Expectations,,Associate - Associate VP: Mar 2022,,,Analyst - Associate: Mar 2019
Business Line,Brokerage,"Brokerage, Regional Trading",1864,1-Feb-15,"Associate VP, Regional Trading",Associate VP,896,UAE - One Central,Male,8 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,Meets Expectations,,,,Associate - Associate VP:Mar 2020,
Business Line,Brokerage,"Brokerage, Retail Contact Center",674,15-Feb-06,Senior Customer Relations Officer,Associate VP,981,Egypt - Head Office,Male,17 Year(s) 4 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",1365,18-Oct-09,Senior Call Center Officer,Associate VP,981,Egypt - Head Office,Male,13 Year(s) 8 Month(s) 2 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Associate - Associate VP:Mar 2020,
Business Line,Brokerage,"Brokerage, Global Markets Support",2352,1-Oct-18,Global Markets Support Senior Officer,Associate VP,1034,Egypt - Head Office,Male,4 Year(s) 8 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Hired 2018,Associate - Associate VP: Mar 2023,,,Analyst - Associate:Mar 2020,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2292,1-Jun-18,Online Trading Lead,Associate VP,1332,Egypt - Head Office,Male,5 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Analyst - Associate:Mar 2020,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2665,15-Nov-21,Senior Online Trading Officer,Associate VP,1332,Egypt - Head Office,Male,1 Year(s) 7 Month(s) 5 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Brokerage,"Brokerage, Branches Followup",970,3-Oct-07,"Associate VP, Branches Follow Up",Associate VP,1380,Egypt - Head Office,Male,15 Year(s) 8 Month(s) 17 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Branches Followup",1697,1-Nov-10,"Associate VP, Branches Follow Up",Associate VP,1380,Egypt - Head Office,Male,12 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,Associate - Associate VP: Mar 2019
Business Line,Brokerage,"Brokerage, Local Trading",1390,16-Jun-01,Broker,Associate VP,1387,Kuwait - Head Office,Male,22 Year(s) 0 Month(s) 4 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Needs Development,,,,,
Business Line,Brokerage,"Brokerage, Local Trading",1392,21-Jun-03,Broker,Associate VP,1387,Kuwait - Head Office,Male,19 Year(s) 11 Month(s) 29 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Needs Development,,,,,
Business Line,Brokerage,"Brokerage, Local Trading",1407,28-Oct-06,Broker,Associate VP,1387,Kuwait - Head Office,Male,16 Year(s) 7 Month(s) 22 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Local Trading",1570,9-May-10,Broker,Associate VP,1387,Kuwait - Head Office,Male,13 Year(s) 1 Month(s) 11 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Needs Development,,,,,
Business Line,Brokerage,"Brokerage, Order Taking",2504,17-Feb-20,Order Taker,Associate VP,1387,Kuwait - Head Office,Male,3 Year(s) 4 Month(s) 3 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2020,Hired 2020,,,,,
Business Line,Brokerage,"Brokerage, Trading",1621,10-Apr-08,Associate Vice President,Associate VP,1579,Jordan - Amman,Female,15 Year(s) 2 Month(s) 10 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Associate - Associate VP:Mar 2020,
Business Line,Brokerage,"Brokerage, Structured Products",1972,11-May-16,"Associate VP, Structured Products",Associate VP,2015,UAE - One Central,Male,7 Year(s) 1 Month(s) 9 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,Associate - Associate VP: Mar 2022,,,
Business Line,Brokerage,"Brokerage, Structured Products",2062,15-May-17,"Associate VP, Structured Products",Associate VP,2015,UAE - One Central,Male,6 Year(s) 1 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,Associate - Associate VP: Mar 2022,,,Analyst - Associate: Mar 2019
Business Line,Brokerage,"Brokerage, Trading",2821,1-Sep-22,"Associate VP, Trading Desk",Associate VP,2053,Singapore - Singapore,Male,0 Year(s) 9 Month(s) 19 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,Brokerage,2404,1-May-19,"Associate VP, Trading Desk",Associate VP,2064,Kenya - Nairobi,Male,4 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,,,Associate - Associate VP: Mar 2021,,
Business Line,Brokerage,Brokerage,2561,25-Jan-21,"Associate VP, Trading Desk",Associate VP,2064,Kenya - Nairobi,Male,2 Year(s) 4 Month(s) 25 Day(s),Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,Associate - Associate VP: Mar 2023,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2111,1-Oct-17,Senior Account Officer,Associate VP,2112,Egypt - Sohag,Male,5 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2113,1-Oct-17,Senior Account Officer,Associate VP,2112,Egypt - Sohag,Male,5 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1990,10-Jul-16,Senior Account Officer,Associate VP,2259,Egypt - New Cairo,Male,6 Year(s) 11 Month(s) 10 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Analyst - Associate:Mar 2020,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2316,1-Jul-18,Senior Account Officer,Associate VP,2259,Egypt - New Cairo,Male,4 Year(s) 11 Month(s) 19 Day(s),Needs Development,Needs Development,Meets Expectations ,Meets Expectations ,Hired 2018,,,Associate - Associate VP: Mar 2021,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2866,8-Mar-23,Senior Account Officer,Associate VP,2259,Egypt - New Cairo,Male,0 Year(s) 3 Month(s) 12 Day(s),Hired 2023,Hired 2023,Hired 2023,Hired 2023,Hired 2023,,,,,
Business Line,Brokerage,"Brokerage, Trading",2178,4-Apr-06,"Associate VP, Trading Desk",Associate VP,2360,Pakistan - Karachi,Male,17 Year(s) 2 Month(s) 16 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Needs Development,Needs Development,,,,,
Business Line,Brokerage,"Brokerage, Local Institutional Trading",2184,2-Nov-15,"Associate VP, Local Institutional Trading",Associate VP,2360,Pakistan - Karachi,Male,7 Year(s) 7 Month(s) 18 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading",2189,16-Jan-17,"Associate VP, Trading Desk",Associate VP,2360,Pakistan - Karachi,Male,6 Year(s) 5 Month(s) 4 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading",2287,21-May-18,"Associate VP, Trading Desk",Associate VP,2360,Pakistan - Lahore,Male,5 Year(s) 0 Month(s) 29 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading – Execution",2376,30-Nov-18,"Associate VP, Trading Desk – Execution",Associate VP,2360,Pakistan - Karachi,Male,4 Year(s) 6 Month(s) 20 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Needs Development,Hired 2018,,Associate - Associate VP: Mar 2022,,,
Business Line,Brokerage,"Brokerage, Customer Service",2767,25-Apr-22,"Associate VP, Customer Service",Associate VP,2360,Pakistan - Karachi,Male,1 Year(s) 1 Month(s) 25 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Branches Management",136,1-Oct-97,Branch Manager,Director,188,Egypt - Alex - Somouha,Female,25 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Retail Contact Center",169,23-Oct-96,"Director, Retail Contact Center",Director,188,Egypt - Head Office,Male,26 Year(s) 7 Month(s) 27 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Branches Management",409,1-Feb-96,Branch Manager,Director,188,Egypt - Nasr City,Male,27 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Branches Management",556,1-Jul-05,Branch Manager,Director,188,Egypt - Mossadak,Male,17 Year(s) 11 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Meets Expectations ,Meets Expectations,,,Associate Director - Director: Mar 2021,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, Branches Followup",572,11-Sep-05,"Director, Branches Follow Up",Director,188,Egypt - Head Office,Male,17 Year(s) 9 Month(s) 9 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Branches Management",576,10-Oct-05,Branch Manager,Director,188,Egypt - Maadi,Male,17 Year(s) 8 Month(s) 10 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading",658,12-Feb-06,"Director, GDR Trading Desk",Director,188,Egypt - Head Office,Male,17 Year(s) 4 Month(s) 8 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Technical Analysis",1742,16-Oct-12,Head of Technical Analysis,Director,188,Egypt - Head Office,Male,10 Year(s) 8 Month(s) 4 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Branches Management",2259,1-Apr-18,Branch Manager,Director,188,Egypt - New Cairo,Male,5 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Local Institutional Trading",445,19-May-04,"Director, Local Institutional Trading",Director,194,Egypt - Head Office,Male,19 Year(s) 1 Month(s) 1 Day(s),Above Expectations,Above Expectations,Above Expectations ,Above Expectations ,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading",479,1-Dec-04,"Director, Trading Desk",Director,317,Egypt - Head Office,Male,18 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading",563,21-Aug-05,"Director, Trading Desk",Director,317,Egypt - Head Office,Male,17 Year(s) 9 Month(s) 29 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",472,10-Oct-04,Account Director,Director,346,Egypt - Head Office,Female,18 Year(s) 8 Month(s) 10 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1074,1-Mar-08,Account Director,Director,346,Egypt - Head Office,Male,15 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Needs Development,,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1081,14-Mar-08,Account Director,Director,346,Egypt - Head Office,Male,15 Year(s) 3 Month(s) 6 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1109,16-Mar-08,Account Director,Director,346,Egypt - Head Office,Male,15 Year(s) 3 Month(s) 4 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, Institutional Sales, Corporate Access",740,14-Aug-06,Head of Corporate Access,Director,491,Egypt - Head Office,Female,16 Year(s) 10 Month(s) 6 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,Associate Director - Director: Mar 2022,,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, MENA Institutional Sales",742,29-Sep-14,"Director, MENA Institutional Sales",Director,584,UAE - One Central,Female,8 Year(s) 8 Month(s) 21 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Meets Expectations,Associate Director - Director: Mar 2023,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, MENA Family Offices & HNWI Sales",964,16-Sep-07,"Director, MENA Family Offices & HNWI Sales",Director,604,Egypt - Head Office,Male,15 Year(s) 9 Month(s) 4 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Associate Director - Director: Mar 2023,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, MENA Family Offices & HNWI Sales",1115,1-Apr-08,"Director, MENA Family Offices & HNWI Sales",Director,604,UAE - One Central,Male,15 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Needs Development,Associate Director - Director: Mar 2023,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",969,17-Oct-07,"Director, Institutional Sales Trading",Director,631,Egypt - Head Office,Male,15 Year(s) 8 Month(s) 3 Day(s),Above Expectations,Meets Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",1129,5-May-08,"Director, Institutional Sales Trading",Director,631,Egypt - Head Office,Male,15 Year(s) 1 Month(s) 15 Day(s),Above Expectations,Meets Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Trading",1025,1-Dec-07,"Director, Institutional Trading",Director,875,Egypt - Head Office,Female,15 Year(s) 6 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,Associate Director - Director: Mar 2023,,,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, Regional Trading",664,29-Dec-05,"Director, Regional Trading",Director,896,UAE - One Central,Male,17 Year(s) 5 Month(s) 21 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,Meets Expectations,,,Associate Director - Director: Mar 2021,,
Business Line,Brokerage,"Brokerage, Regional Trading",1535,1-Mar-10,"Director, Regional Trading",Director,896,UAE - One Central,Male,13 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,Meets Expectations,,,Associate Director - Director: Mar 2021,,
Business Line,Brokerage,"Brokerage, Institutional Trading",875,6-Jun-07,Co-Head of Institutional Trading,Director,951,Egypt - Head Office,Male,16 Year(s) 0 Month(s) 14 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Regional Trading",896,25-Jun-07,"Director, Regional Trading",Director,951,UAE - One Central,Male,15 Year(s) 11 Month(s) 25 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Trading",1106,1-Apr-08,Co-Head of Institutional Trading,Director,951,Egypt - Head Office,Male,15 Year(s) 2 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Analysis",733,9-Aug-06,"Director, Brokerage Analysis",Director,963,Egypt - Head Office,Female,16 Year(s) 10 Month(s) 11 Day(s),Meets Expectations,Above Expectations,Above Expectations,Meets Expectations,Above Expectations,Associate Director - Director: Mar 2023,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, Global Markets Support",1301,1-Jan-09,Head of Global Markets Support,Director,963,Egypt - Head Office,Male,14 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Foreign Institutional Trading",1415,14-Jun-03,Head of Trading & Foreign Institutions,Director,963,Kuwait - Head Office,Male,20 Year(s) 0 Month(s) 6 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Above Expectations ,Meets Expectations,,Associate Director - Director: Mar 2022,,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2437,1-Aug-19,Head of Individual Retail Sales & Ultra High Net Worth,Director,963,UAE - One Central,Male,3 Year(s) 10 Month(s) 19 Day(s),Above Expectations,Above Expectations,Meets Expectations,Hired 2019,Hired 2019,,,,,
Business Line,Brokerage,"Brokerage, Institutional Trading",1136,1-May-08,"Director, Institutional Trading",Director,1106,Egypt - Head Office,Male,15 Year(s) 1 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Meets Expectations,Associate Director - Director: Mar 2023,,,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, Sales",1579,13-Jun-10,Head of Brokerage,Director,1554,Jordan - Amman,Male,13 Year(s) 0 Month(s) 7 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Credit Trading & Sales",2261,26-Mar-18,"Director, Credit Trading",Director,1700,UAE - One Central,Male,5 Year(s) 2 Month(s) 24 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,Associate Director - Director: Mar 2021,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, Credit Trading & Sales",2506,17-Feb-20,"Director, Credit Trading & Sales",Director,1700,UAE - One Central,Male,3 Year(s) 4 Month(s) 3 Day(s),Meets Expectations,Above Expectations,Above Expectations,Hired 2020,Hired 2020,,,,,
Business Line,Brokerage,"Brokerage, MENA Institutional Sales",948,2-Sep-07,"Director, MENA Institutional Sales",Director,1909,Egypt - Head Office,Female,15 Year(s) 9 Month(s) 18 Day(s),Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Associate Director - Director: Mar 2023,,,Vice President - Associate Director:Mar 2020,
Business Line,Brokerage,"Brokerage, MENA Institutional Sales",1738,1-Sep-12,"Director, MENA Institutional Sales",Director,1909,Egypt - Head Office,Male,10 Year(s) 9 Month(s) 19 Day(s),Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,Associate Director - Director: Mar 2022,,,Vice President - Associate Director: Mar 2019
Business Line,Brokerage,"Brokerage, MENA Institutional Sales",2162,2-Jan-18,"Director, MENA Institutional Sales",Director,1909,Egypt - Head Office,Male,5 Year(s) 5 Month(s) 18 Day(s),Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales",2807,15-Aug-22,"Director, Institutional Sales",Director,2006,USA - New York,Male,0 Year(s) 10 Month(s) 5 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Management",2360,2-Oct-18,Acting Chief Executive Officer - Pakistan,Director,2053,Pakistan - Karachi,Male,4 Year(s) 8 Month(s) 18 Day(s),Meets Expectations,Above Expectations,Above Expectations,Meets Expectations,Hired 2018,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",2048,1-Apr-17,"Director, Sales Trading",Director,2069,UAE - One Central,Male,6 Year(s) 2 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",2063,15-May-17,"Director, Sales Trading",Director,2069,UAE - One Central,Male,6 Year(s) 1 Month(s) 5 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales",2410,17-May-19,"Director, Institutional Sales",Director,2087,USA - New York,Male,4 Year(s) 1 Month(s) 3 Day(s),Meets Expectations,Needs Development,Meets Expectations,Meets Expectations,Hired 2019,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales",2822,1-Sep-22,"Director, Institutional Sales",Director,2087,Singapore - Singapore,Male,0 Year(s) 9 Month(s) 19 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",546,1-Feb-15,"Director, Individual Retail Sales",Director,2437,UAE - One Central,Male,8 Year(s) 4 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations ,Meets Expectations ,Meets Expectations,,Associate Director - Director: Mar 2022,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",619,7-Dec-05,Head of Individual Retail Sales – UAE,Director,2437,UAE - One Central,Male,17 Year(s) 6 Month(s) 13 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",663,6-Feb-06,"Director, Individual Retail Sales",Director,2437,UAE - One Central,Male,17 Year(s) 4 Month(s) 14 Day(s),Above Expectations,Above Expectations,Above Expectations ,Meets Expectations ,Meets Expectations,,,Associate Director - Director: Mar 2021,,
Business Line,Brokerage,"Brokerage, Trading",317,1-Apr-98,Head of Trading Desk,Managing Director,188,Egypt - Head Office,Male,25 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",346,1-Jan-97,Head of Individual Retail Sales - Egypt,Managing Director,188,Egypt - Head Office,Male,26 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",631,1-Jun-05,Head of Institutional Sales Trading,Managing Director,194,UAE - One Central,Male,18 Year(s) 0 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",2069,7-Jun-17,Head of Frontier Sales Trading,Managing Director,194,UAE - One Central,Female,6 Year(s) 0 Month(s) 13 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,,,,,
Business Line,Brokerage,Brokerage,963,23-Sep-07,Global Head of Brokerage,Managing Director,195,Kuwait - Head Office,Male,15 Year(s) 8 Month(s) 27 Day(s),Incomplete,Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Credit Trading & Sales",1700,26-Mar-18,Head of Credit Trading & Sales,Managing Director,195,UAE - One Central,Male,5 Year(s) 2 Month(s) 24 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Structured Products",2015,7-Nov-16,Head of Structured Products,Managing Director,195,UAE - One Central,Male,6 Year(s) 7 Month(s) 13 Day(s),Above Expectations,Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, MENA Institutional Sales",584,3-Oct-05,Co-Head of MENA Institutional Sales,Managing Director,491,UAE - One Central,Male,17 Year(s) 8 Month(s) 17 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, MENA Institutional Sales",1909,1-Jun-15,Co-Head of MENA Institutional Sales,Managing Director,491,Egypt - Head Office,Male,8 Year(s) 0 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales",2087,3-Jul-17,Head of Frontier Institutional Sales,Managing Director,491,UK - London,Female,5 Year(s) 11 Month(s) 17 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, MENA Family Offices & HNWI Sales",604,1-Nov-05,Head of MENA Family Offices & HNWI Sales,Managing Director,568,Egypt - Head Office,Male,17 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Trading",2053,25-Apr-17,"Head of Frontier Trading, Asian Sales Trading",Managing Director,951,Singapore - Singapore,Male,6 Year(s) 1 Month(s) 25 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Needs Development,Meets Expectations,,,,,
Business Line,Brokerage,"Brokerage, Management",188,1-Sep-98,Deputy Head of Brokerage & Co-Head of Egypt Brokerage,Managing Director,963,Egypt - Head Office,Male,24 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",194,19-Dec-99,Co-Head of Brokerage - Egypt,Managing Director,963,Egypt - Head Office,Male,23 Year(s) 6 Month(s) 1 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,
Business Line,Brokerage,"Brokerage, Management",405,1-Jun-97,General Manager & Head of Brokerage - KSA,Managing Director,963,KSA - Riyadh,Male,26 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Above Expectations,Above Expectations,,,,,Director - Managing Director: Mar 2019
Business Line,Brokerage,"Brokerage, Institutional Sales",491,1-Feb-05,Co-Head of Sales,Managing Director,963,Egypt - Head Office,Male,18 Year(s) 4 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations,Above Expectations,Meets Expectations,,,,,
