Type,Department,Desk,EID,Hire Date,Job Title,Level,Manager EID,Location,Total Years of Experince within EFG Hermes,Gender,Category,Exit Date,Comment
Business Line,Investment Banking,Investment Banking,2669,1-Dec-21,Analyst,Analyst,929,Egypt - Head Office,0 Year(s) 4 Month(s) 14 Day(s),Male,Officers,14-Apr-22,
Business Line,Investment Banking,Investment Banking,1803,15-Jan-14,Vice President,Vice President,929,Egypt - Head Office,8 Year(s) 5 Month(s) 7 Day(s),Male,Officers,21-Jun-22,
Business Partner,Legal,Legal,2686,1-Jan-22,Lawyer,Analyst,2467,Egypt - Head Office,0 Year(s) 3 Month(s) 0 Day(s),Female,Officers,31-Mar-22,
Business Partner,Legal,Legal,2476,10-Dec-19,Litigation Manager,Vice President,2497,Egypt - Head Office,2 Year(s) 5 Month(s) 21 Day(s),Male,Officers,31-May-22,
Business Partner,Marketing & Communications,Marketing & Communications,1488,13-Dec-09,Events & Activations Director,Director,1509,Egypt - Head Office,12 Year(s) 5 Month(s) 3 Day(s),Female,Officers,15-May-22,
Business Line,Non-Bank Finance Institution,Non-Bank Finance Institution,1996,1-Aug-16,"Chief Executive Officer, EFG Finance Holding",Managing Director,260,Egypt - Head Office,6 Year(s) 0 Month(s) 0 Day(s),Male,Officers,31-Jul-22,Separation of legal entity
Business Line,Private Equity,Private Equity,1950,1-Jan-16,Senior Executive Assistant,Professional,1661,Egypt - Head Office,6 Year(s) 3 Month(s) 0 Day(s),Male,Administrative Support,31-Mar-22,
Business Line,Private Equity,Private Equity,1970,15-May-16,Vice President,Vice President,1661,Egypt - Head Office,6 Year(s) 3 Month(s) 1 Day(s),Male,Officers,15-Aug-22,
Business Line,Private Equity,Private Equity,2650,1-Sep-21,Associate Director,Associate Director,1672,UAE - ADGM,1 Year(s) 0 Month(s) 14 Day(s),Male,Officers,14-Sep-22,
Business Line,Research,Research,2366,5-Nov-18,Associate,Associate,997,Pakistan - Karachi,3 Year(s) 1 Month(s) 29 Day(s),Male,Officers,3-Jan-22,
Business Line,Research,Research,2537,1-Oct-20,Analyst,Analyst,1192,Egypt - Head Office,1 Year(s) 10 Month(s) 0 Day(s),Male,Officers,31-Jul-22,
Business Line,Research,Research,2073,15-Jun-17,Vice President,Vice President,2049,Kenya - Nairobi,4 Year(s) 10 Month(s) 11 Day(s),Male,Officers,25-Apr-22,
Business Line,Research,Research,2462,13-Mar-18,Associate,Associate,2049,Nigeria - Lagos,4 Year(s) 5 Month(s) 20 Day(s),Female,Officers,2-Sep-22,
Business Line,Research,Research,2463,17-Jun-19,Associate,Associate,2049,Nigeria - Lagos,3 Year(s) 2 Month(s) 20 Day(s),Female,Officers,6-Sep-22,
Business Partner,Risk Management,Risk Management,2074,8-Jun-17,Chief Risk Officer,Director,2030,Egypt - Head Office,4 Year(s) 11 Month(s) 23 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2305,11-Nov-19,Risk Strategy Senior Analyst,Associate,2074,Egypt - Head Office,2 Year(s) 6 Month(s) 20 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2535,1-Oct-20,Credit Senior Analyst,Associate,2074,Egypt - Head Office,1 Year(s) 8 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2441,7-Aug-19,Credit Team Lead,Associate VP,2074,Egypt - Head Office,2 Year(s) 9 Month(s) 24 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2351,1-Oct-18,Fraud Manager,Vice President,2074,Egypt - Head Office,3 Year(s) 8 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2500,1-Jan-20,MIS Manager,Vice President,2074,Egypt - Head Office,2 Year(s) 5 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2624,1-Jul-21,Collection & Recovery Manager,Vice President,2074,Egypt - Head Office,0 Year(s) 11 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2643,15-Sep-21,Credit Analyst,Analyst,2305,Egypt - Head Office,0 Year(s) 8 Month(s) 16 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2681,15-Dec-21,Credit Senior Analyst,Analyst,2305,Egypt - Head Office,0 Year(s) 5 Month(s) 16 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2778,17-May-22,Credit Analyst,Analyst,2305,Egypt - Head Office,0 Year(s) 0 Month(s) 14 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,Risk Management,2586,1-May-21,MIS Analyst,Analyst,2500,Egypt - Head Office,1 Year(s) 1 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Risk Management,"Risk Management, Credit & Risk",2629,1-Aug-21,Credit & Risk Senior Analyst,Analyst,1866,Egypt - Head Office,1 Year(s) 2 Month(s) 0 Day(s),Male,Officers,30-Sep-22,
Business Partner,Risk Management,"Risk Management, Credit & Risk",2491,2-Jan-20,Credit & Risk Senior Analyst,Analyst,1949,Egypt - Head Office,2 Year(s) 2 Month(s) 9 Day(s),Male,Officers,10-Mar-22,
